season,date,event,patch,blue_team,red_team,winner,ban_1_blue_team,ban_2_blue_team,ban_3_blue_team,ban_4_blue_team,ban_5_blue_team,ban_1_red_team,ban_2_red_team,ban_3_red_team,ban_4_red_team,ban_5_red_team,pick_1_blue_team,pick_2_blue_team,pick_3_blue_team,pick_4_blue_team,pick_5_blue_team,pick_1_red_team,pick_2_red_team,pick_3_red_team,pick_4_red_team,pick_5_red_team,top_blue_team,jungler_blue_team,mid_blue_team,adc_blue_team,support_blue_team,top_red_team,jungler_red_team,mid_red_team,adc_red_team,support_red_team
1,2011-06-20,Main,,Against_All_authority,Fnatic,Fnatic,Alistar,Gragas,Anivia,,,Rumble,Nunu,Amumu,,,Malzahar,Jarvan IV,Irelia,Corki,Janna,Brand,Warwick,Karthus,Ashe,Sona,MoMa, Linak, sOAZ, YellOwStaR, Kujaa,Shushei, Cyanide, xPeke, Lamia, Mellisan
1,2011-06-20,Main,,Fnatic,Against_All_authority,Against_All_authority,Nunu,Warwick,Amumu,,,Gragas,Alistar,Rumble,,,Brand,Rammus,Malzahar,Corki,Janna,Irelia,Jarvan IV,Anivia,Ashe,Sona,Shushei, Cyanide, xPeke, Lamia, Mellisan,sOAZ, Linak, MoMa, YellOwStaR, Kujaa
1,2011-06-20,Main,,Against_All_authority,TSM,Against_All_authority,Jarvan IV,Annie,Singed,,,Rumble,Corki,Vladimir,,,Sion,Nunu,Malzahar,Vayne,Janna,Cho'Gath,Warwick,Twisted Fate,Teemo,Alistar,YellOwStaR, Linak, MoMa, sOAZ, Kujaa,Chaox, TheOddOne, Reginald, TheRainMan, Xpecial
1,2011-06-20,Main,,Epik_Gamer,TSM,TSM,Zilean,Vayne,Alistar,,,Akali,Vladimir,Corki,,,Singed,Amumu,Annie,Miss Fortune,Janna,Teemo,Nunu,Twisted Fate,Ashe,Taric,Dyrus, Dan Dinh, Salce, Westrice, Doublelift,TheRainMan, TheOddOne, Reginald, Chaox, Xpecial
1,2011-06-20,Main,,TSM,Epik_Gamer,TSM,Akali,Vladimir,Taric,,,Vayne,Zilean,Twisted Fate,,,Jarvan IV,Warwick,Annie,Corki,Alistar,Tristana,Nunu,Malzahar,Miss Fortune,Janna,TheRainMan, TheOddOne, Reginald, Chaox, Xpecial,Westrice, Dan Dinh, Salce, Dyrus, Doublelift
1,2011-06-20,Main,,Fnatic,Against_All_authority,Fnatic,Nunu,Warwick,Amumu,,,Alistar,Rumble,Gragas,,,Anivia,Jarvan IV,Malzahar,Ashe,Sona,Karthus,Nocturne,Annie,Corki,Janna,Shushei, Cyanide, xPeke, Lamia, Mellisan,MoMa, Linak, sOAZ, YellOwStaR, Kujaa
1,2011-06-20,Main,,Against_All_authority,Fnatic,Fnatic,Alistar,Ashe,Vladimir,,,Rumble,Nunu,Amumu,,,Nidalee,Warwick,Anivia,Miss Fortune,Sona,Gragas,Jarvan IV,Malzahar,Corki,Janna,sOAZ, Linak, MoMa, YellOwStaR, Kujaa,Shushei, Cyanide, xPeke, Lamia, Mellisan
1,2011-06-19,Main,,Fnatic,Epik_Gamer,Fnatic,Vladimir,Taric,Akali,,,Rumble,Nidalee,Amumu,,,Karthus,Jarvan IV,Alistar,Ashe,Janna,Vayne,Nunu,Malzahar,Blitzcrank,Soraka,xPeke, Cyanide, Shushei, Lamia, Mellisan,Westrice, Dan Dinh, Salce, Doublelift, Dyrus
1,2011-06-19,Main,,Epik_Gamer,Fnatic,Fnatic,Rumble,Nidalee,Twisted Fate,,,Vladimir,Taric,Corki,,,Jarvan IV,Nunu,Swain,Vayne,Soraka,Malzahar,Amumu,Alistar,Ashe,Janna,Dyrus, Dan Dinh, Salce, Westrice, Doublelift,xPeke, Cyanide, Shushei, Lamia, Mellisan
1,2011-06-19,Main,,TSM,Against_All_authority,Against_All_authority,Nidalee,Irelia,Warwick,,,Vayne,Twisted Fate,Jarvan IV,,,Singed,Nunu,Vladimir,Caitlyn,Alistar,Malzahar,Amumu,Rumble,Corki,Sona,TheRainMan, TheOddOne, Reginald, Chaox, Xpecial,MoMa, Linak, sOAZ, YellOwStaR, Kujaa
1,2011-06-19,Main,,Against_All_authority,TSM,Against_All_authority,Vayne,Alistar,Twisted Fate,,,Nidalee,Rumble,Vladimir,,,Warwick,Nunu,Malzahar,Corki,Janna,Jarvan IV,Nocturne,Zilean,Irelia,Taric,sOAZ, Linak, MoMa, YellOwStaR, Kujaa,TheRainMan, TheOddOne, Reginald, Chaox, Xpecial
1,2011-06-19,Main,,TSM,Against_All_authority,TSM,Nidalee,Rumble,Akali,,,Vayne,Twisted Fate,Singed,,,Jarvan IV,Nunu,Annie,Corki,Alistar,Vladimir,Amumu,Anivia,Ashe,Sona,TheRainMan, TheOddOne, Reginald, Chaox, Xpecial,sOAZ, Linak, MoMa, YellOwStaR, Kujaa
1,2011-06-19,Main,,Team_gamed_21-de,Counter_Logic_Gaming,Counter_Logic_Gaming,Nidalee,Anivia,Twisted Fate,,,Sona,Rumble,Nunu,,,Lux,Trundle,Caitlyn,Ashe,Taric,Cho'Gath,Gangplank,Zilean,Corki,Alistar,Reyk, Zylor, Kev1n, CandyPanda, Nyph,HotshotGG, Saintvicious, bigfatlp, Chauster, Elementz
1,2011-06-19,Main,,Fnatic,Counter_Logic_Gaming,Fnatic,Nidalee,Twisted Fate,Anivia,,,Alistar,Rumble,Amumu,,,Gragas,Nunu,Swain,Ashe,Sona,Vladimir,Warwick,Annie,Caitlyn,Janna,Shushei, Cyanide, xPeke, Lamia, Mellisan,Chauster, Saintvicious, Elementz, bigfatlp, HotshotGG
1,2011-06-19,Main,,Counter_Logic_Gaming,Fnatic,Fnatic,Alistar,Amumu,Vladimir,,,Nidalee,Twisted Fate,Karthus,,,Dr. Mundo,Nunu,Swain,Vayne,Sona,Anivia,Jarvan IV,Malzahar,Ashe,Janna,Chauster, Saintvicious, HotshotGG, bigfatlp, Elementz,Shushei, Cyanide, xPeke, Lamia, Mellisan
1,2011-06-19,Main,,Against_All_authority,Team_gamed_21-de,Against_All_authority,Vayne,Sona,Rumble,,,Irelia,Karthus,Nidalee,,,Warwick,Nunu,Malzahar,Ashe,Janna,Brand,Amumu,Anivia,Tristana,Taric,sOAZ, Linak, MoMa, YellOwStaR, Kujaa,Reyk, Zylor, Kev1n, CandyPanda, Nyph
