season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
1,Main,Against_All_authority,Kujaa,12,7,5,58.3,0.25,2.58,8.33,3.32,13.58,0.34,7.8,198,,,,,
1,Main,Against_All_authority,Linak,12,7,5,58.3,1.75,3.58,7.67,2.63,113.17,2.86,10.3,259,,,,,
1,Main,Against_All_authority,MoMa,12,7,5,58.3,4.17,2.75,5.58,3.55,242.25,6.13,12.1,307,,,,,
1,Main,Against_All_authority,sOAZ,12,7,5,58.3,4.0,2.92,7.08,3.8,214.67,5.43,11.6,293,,,,,
1,Main,Against_All_authority,YellOwStaR,12,7,5,58.3,3.75,3.25,5.17,2.74,276.33,6.99,13.2,333,,,,,
1,Main,Counter_Logic_Gaming,bigfatlp,6,3,3,50.0,2.5,2.5,5.33,3.13,191.17,5.37,9.8,275,,,,,
1,Main,Counter_Logic_Gaming,Chauster,6,3,3,50.0,3.17,1.67,2.5,3.4,221.0,6.21,10.4,293,,,,,
1,Main,Counter_Logic_Gaming,Elementz,6,3,3,50.0,1.0,2.33,6.33,3.14,50.67,1.42,7.1,200,,,,,
1,Main,Counter_Logic_Gaming,HotshotGG,6,3,3,50.0,1.83,2.67,3.83,2.13,188.83,5.31,9.7,273,,,,,
1,Main,Counter_Logic_Gaming,Saintvicious,6,3,3,50.0,2.5,2.67,5.0,2.81,112.0,3.15,9.2,258,,,,,
1,Main,Epik_Gamer,Dan Dinh,7,3,4,42.9,1.71,3.86,11.0,3.3,107.29,2.62,10.4,255,,,,,
1,Main,Epik_Gamer,Doublelift,7,3,4,42.9,2.29,3.43,8.43,3.13,104.71,2.56,9.0,220,,,,,
1,Main,Epik_Gamer,Dyrus,7,3,4,42.9,1.71,2.71,10.29,4.42,172.29,4.21,10.9,267,,,,,
1,Main,Epik_Gamer,Salce,7,3,4,42.9,5.86,3.71,6.57,3.35,232.71,5.69,12.7,311,,,,,
1,Main,Epik_Gamer,Westrice,7,3,4,42.9,6.0,4.71,5.86,2.52,245.57,6.0,13.0,317,,,,,
1,Main,Fnatic,Cyanide,11,8,3,72.7,2.45,2.45,10.36,5.22,109.0,2.86,10.3,269,,,,,
1,Main,Fnatic,Lamia,11,8,3,72.7,5.18,1.82,6.73,6.55,242.82,6.37,13.1,343,,,,,
1,Main,Fnatic,Mellisan,11,8,3,72.7,0.64,2.09,11.82,5.96,18.64,0.49,8.4,220,,,,,
1,Main,Fnatic,Shushei,11,8,3,72.7,6.27,2.27,8.09,6.32,237.18,6.22,12.9,339,,,,,
1,Main,Fnatic,xPeke,8,7,1,87.5,4.63,3.63,8.88,3.72,236.63,6.08,12.8,330,,,,,
1,Main,Fnatic,wewillfailer,3,1,2,33.3,2.0,4.67,6.33,1.79,189.67,5.27,9.6,267,,,,,
1,Main,Xan,Axion,3,1,2,33.3,4.67,2.33,2.67,3.14,199.0,5.47,10.4,286,,,,,
1,Main,Xan,Radeon6870,3,1,2,33.3,1.0,3.0,3.67,1.56,87.0,2.39,8.1,223,,,,,
1,Main,Xan,Vech,3,1,2,33.3,1.67,2.33,4.33,2.57,263.67,7.25,12.2,334,,,,,
1,Main,Xan,d4rkness,3,1,2,33.3,3.0,3.0,2.67,1.89,277.67,7.63,11.9,326,,,,,
1,Main,Xan,iNtrigueD,3,1,2,33.3,0.67,2.0,4.67,2.67,21.33,0.59,7.7,211,,,,,
1,Main,Team_gamed_21-de,CandyPanda,5,1,4,20.0,4.8,4.2,1.8,1.57,239.4,6.85,11.3,322,,,,,
1,Main,Team_gamed_21-de,Kev1n,5,1,4,20.0,1.4,2.6,2.0,1.31,206.8,5.91,9.2,262,,,,,
1,Main,Team_gamed_21-de,Nyph,5,1,4,20.0,0.2,2.8,6.0,2.21,16.2,0.46,7.3,208,,,,,
1,Main,Team_gamed_21-de,Reyk,5,1,4,20.0,0.8,3.0,3.4,1.4,155.0,4.43,7.8,222,,,,,
1,Main,Team_gamed_21-de,Zylor,5,1,4,20.0,1.0,4.6,4.2,1.13,110.2,3.15,7.2,206,,,,,
1,Main,Pacific_eSports,iddo,3,0,3,0.0,1.0,2.0,2.0,1.5,135.67,4.92,6.2,225,,,,,
1,Main,Pacific_eSports,vy,3,0,3,0.0,2.33,2.67,3.0,2.0,105.0,3.81,6.3,230,,,,,
1,Main,Pacific_eSports,dabe,3,0,3,0.0,0.67,4.0,2.67,0.83,77.67,2.82,5.5,198,,,,,
1,Main,Pacific_eSports,gibo,3,0,3,0.0,0.67,2.67,3.67,1.63,4.67,0.17,4.8,175,,,,,
1,Main,Pacific_eSports,wormy,3,0,3,0.0,2.33,4.0,2.0,1.08,143.33,5.2,6.9,249,,,,,
1,Main,TSM,Chaox,9,5,4,55.6,5.67,2.89,4.22,3.42,270.33,6.67,13.9,343,,,,,
1,Main,TSM,Reginald,9,5,4,55.6,4.0,3.89,6.11,2.6,215.11,5.31,12.1,298,,,,,
1,Main,TSM,TheRainMan,9,5,4,55.6,4.0,1.78,7.44,6.44,199.11,4.91,13.3,329,,,,,
1,Main,TSM,TheOddOne,9,5,4,55.6,1.67,1.78,8.22,5.56,126.33,3.12,10.2,252,,,,,
1,Main,TSM,Xpecial,9,5,4,55.6,0.78,2.56,8.0,3.43,26.11,0.64,8.3,206,,,,,
2,Main,Azubu_Frost,CloudTemplar,12,8,4,66.7,2.08,2.5,8.08,4.07,144.92,4.15,10.3,294,,,,,
2,Main,Azubu_Frost,MadLife,12,8,4,66.7,1.0,2.5,9.67,4.27,30.42,0.87,8.7,248,,,,,
2,Main,Azubu_Frost,RapidStar,12,8,4,66.7,4.0,2.5,6.5,4.2,256.58,7.34,12.0,342,,,,,
2,Main,Azubu_Frost,Shy,12,8,4,66.7,3.67,2.83,4.83,3.0,243.17,6.96,11.6,331,,,,,
2,Main,Azubu_Frost,Woong,12,8,4,66.7,3.5,2.75,7.08,3.85,251.08,7.18,11.9,342,,,,,
2,Main,Counter_Logic_Gaming,bigfatlp,3,1,2,33.3,3.67,2.33,1.67,2.29,210.0,6.88,9.4,308,,,,,
2,Main,Counter_Logic_Gaming,Chauster,3,1,2,33.3,0.67,2.0,2.0,1.33,29.0,0.95,6.1,201,,,,,
